region,code,election,label,votes,prop
경기 부천시을,2422,2024_na_pro,민주,69558,53.928873244896536
경기 수원시을,2423,2024_na_pro,민주,66164,55.55891441623001
경기 평택시을,2424,2024_na_pro,민주,40555,53.153424729350704
경기 화성시을,2425,2024_na_pro,민주,53785,50.89950695095061
경기 고양시을,2421,2024_na_pro,보수,50858,37.724848493839616
경기 부천시을,2422,2024_na_pro,보수,49580,38.439770198711436
경기 수원시을,2423,2024_na_pro,보수,45717,38.38925836356308
경기 평택시을,2424,2024_na_pro,보수,31375,41.121654564995154
경기 화성시을,2425,2024_na_pro,보수,47369,44.827716738116195
경기 고양시을,2421,2024_na_pro,진보,5171,3.835683502332861
경기 부천시을,2422,2024_na_pro,진보,2817,2.184042610927191
경기 수원시을,2423,2024_na_pro,진보,2809,2.3587599086389894
경기 평택시을,2424,2024_na_pro,진보,1457,1.9096175522294163
경기 화성시을,2425,2024_na_pro,진보,1637,1.5491771475077838
경기 고양시을,2421,2024_na_pro,기타,5045,3.742220705718291
경기 부천시을,2422,2024_na_pro,기타,7026,5.447313945464836
경기 수원시을,2423,2024_na_pro,기타,4398,3.6930673115679165
경기 평택시을,2424,2024_na_pro,기타,2911,3.8153031534247295
경기 화성시을,2425,2024_na_pro,기타,2878,2.7235991634254133
경기 고양시을,2421,2025_president,민주,83111,52.39959649454637
경기 부천시을,2422,2025_president,민주,80253,51.69475148798022
경기 수원시을,2423,2025_president,민주,74947,51.48413510747185
경기 평택시을,2424,2025_president,민주,56605,50.971616900190895
경기 화성시을,2425,2025_president,민주,65709,51.139388279243526
경기 고양시을,2421,2025_president,보수,59697,37.63760166445999
경기 부천시을,2422,2025_president,보수,60002,38.650124964571894
경기 수원시을,2423,2025_president,보수,55169,37.897824459206035
경기 평택시을,2424,2025_president,보수,43577,39.24017577351151
경기 화성시을,2425,2025_president,보수,43472,33.83298311152619
경기 고양시을,2421,2025_president,진보,1892,1.1928629972889477
경기 부천시을,2422,2025_president,진보,1613,1.039009559145603
경기 수원시을,2423,2025_president,진보,1399,0.9610298613066984
경기 평택시을,2424,2025_president,진보,864,0.7780139033966069
경기 화성시을,2425,2025_president,진보,1153,0.897346097
경기 고양시을,2421,2025_president,기타,13910,8.769938843704685
경기 부천시을,2422,2025_president,기타,13376,8.616113988302287
경기 수원시을,2423,2025_president,기타,14058,9.657010572015414
경기 평택시을,2424,2025_president,기타,10006,9.010193422900983
경기 화성시을,2425,2025_president,기타,18156,14.130282512257764
